Temps,Tension,Vitesse,GazFrein,WHCharged,WHDischarged,Distance,CurrentIn,MotorCurrent,Lat,Lon,Alt,Vsat,Cap,Sat,HDOP,Heure,Date,Distance_GPS
173.44,41.6,24.46,0.0,1.35,0.33,0.06,0.0,0.0,48.849358,2.213704,110.91,25.21,166.74,17,0.87,19111800,220725,0.0
174.0,41.6,24.61,0.0,1.35,0.33,0.06,0.0,0.0,48.849358,2.213704,110.91,23.43,168.05,17,0.87,19111800,220725,0.0
174.57,41.6,24.9,0.0,1.35,0.33,0.06,0.0,0.0,48.8493,2.213721,111.05,23.43,168.05,17,0.87,19111900,220725,6.568168970447969
175.13,41.6,25.05,0.0,1.35,0.33,0.06,0.0,0.0,48.8493,2.213721,111.05,22.69,170.39,17,0.87,19111900,220725,6.568168970447969
175.69,41.6,24.72,0.0,1.35,0.33,0.06,0.0,0.0,48.849243,2.213736,111.17,22.69,170.39,17,0.87,19112000,220725,13.000609882186017
176.26,41.6,24.87,0.0,1.35,0.33,0.06,0.0,0.0,48.849243,2.213736,111.17,23.09,170.26,17,0.87,19112000,220725,13.000609882186017
176.82,41.0,25.04,88.0,1.35,0.34,0.06,8.47,14.49,48.84919,2.213752,111.58,23.09,170.26,17,0.87,19112100,220725,19.00910183833141
177.52,40.7,24.96,88.0,1.35,0.4,0.06,8.8,14.74,48.849133,2.213771,112.12,23.09,170.26,17,0.87,19112200,220725,25.49789579142731
178.45,40.4,25.86,88.0,1.35,0.49,0.06,9.12,14.55,48.849075,2.213793,112.36,23.09,170.26,17,0.87,19112300,220725,32.1450675364371
179.02,40.2,25.87,88.0,1.35,0.55,0.06,8.97,14.71,48.849075,2.213793,112.36,23.95,164.78,17,0.87,19112300,220725,32.1450675364371
179.58,40.0,26.54,88.0,1.35,0.61,0.06,9.4,14.73,48.849014,2.213813,112.48,23.95,164.78,17,0.87,19112400,220725,39.08403133312186
180.47,39.7,27.5,88.0,1.35,0.7,0.06,9.53,14.4,48.848953,2.213835,113.04,23.95,164.78,17,0.87,19112500,220725,46.055327048413005
181.03,39.6,27.8,88.0,1.35,0.76,0.06,9.87,14.63,48.848953,2.213835,113.04,25.54,166.61,17,0.87,19112500,220725,46.055327048413005
181.6,39.3,28.5,88.0,1.35,0.82,0.06,9.97,14.38,48.848892,2.213858,113.4,25.54,166.61,17,0.87,19112600,220725,53.04388220017198
182.54,40.0,28.24,0.0,1.35,0.84,0.07,0.0,0.0,48.848827,2.213887,114.04,25.54,166.61,17,0.87,19112700,220725,60.57661046563439
183.43,39.9,27.64,0.0,1.35,0.84,0.07,0.0,0.0,48.848766,2.213917,114.29,25.54,166.61,17,0.87,19112800,220725,67.7058660129721
183.99,39.9,27.22,0.0,1.35,0.84,0.07,0.0,0.0,48.848766,2.213917,114.29,26.39,163.19,17,0.87,19112800,220725,67.7058660129721
184.55,39.9,27.01,0.0,1.35,0.84,0.07,0.0,0.0,48.848705,2.213946,114.49,26.39,163.19,17,0.87,19112900,220725,74.81293322216757
185.12,39.9,26.54,0.0,1.35,0.84,0.07,0.0,0.0,48.848705,2.213946,114.49,25.39,162.15,17,0.87,19112900,220725,74.81293322216757
185.68,39.9,26.41,0.0,1.35,0.84,0.07,0.0,0.0,48.848644,2.213974,115.67,25.39,162.15,17,0.87,19113000,220725,81.89849817449824
186.24,39.9,26.28,0.0,1.35,0.84,0.07,0.0,0.0,48.848644,2.213974,115.67,24.52,162.19,17,0.87,19113000,220725,81.89849817449824
186.81,39.9,25.96,0.0,1.35,0.84,0.07,0.0,0.0,48.848587,2.214001,116.05,24.52,162.19,17,0.87,19113100,220725,88.53738425558751
187.45,39.9,25.6,0.0,1.35,0.84,0.07,0.0,0.0,48.84853,2.214027,116.42,24.52,162.19,17,0.87,19113200,220725,95.15486473004425
188.01,39.9,25.19,0.0,1.35,0.84,0.07,0.0,0.0,48.84853,2.214027,116.42,23.76,162.75,17,0.87,19113200,220725,95.15486473004425
188.58,39.9,25.11,0.0,1.35,0.84,0.07,0.0,0.0,48.848473,2.214053,116.77,23.76,162.75,17,0.87,19113300,220725,101.7723458264243
